zipcode,City,City_index,County
98001,Algona,0,King County
98001,Auburn,1,King County
98002,Auburn,1,King County
98003,Auburn,1,King County
98023,Auburn,1,King County
98047,Auburn,1,King County
98063,Auburn,1,King County
98071,Auburn,1,King County
98092,Auburn,1,King County
98093,Auburn,1,King County
98224,Baring,2,King County
98004,Beaux Arts Village,3,King County
98004,Bellevue,4,King County
98005,Bellevue,4,King County
98006,Bellevue,4,King County
98007,Bellevue,4,King County
98008,Bellevue,4,King County
98009,Bellevue,4,King County
98015,Bellevue,4,King County
98010,Black Diamond,5,King County
98011,Bothell,6,King County
98028,Bothell,6,King County
98041,Bothell,6,King County
98146,Burien,7,King County
98148,Burien,7,King County
98166,Burien,7,King County
98168,Burien,7,King County
98013,Burton,8,King County
98014,Carnation,9,King County
98004,Clyde Hill,10,King County
98042,Covington,11,King County
98148,Des Moines,12,King County
98198,Des Moines,12,King County
98019,Duvall,13,King County
98022,Enumclaw,14,King County
98024,Fall City,15,King County
98001,Federal Way,16,King County
98003,Federal Way,16,King County
98023,Federal Way,16,King County
98063,Federal Way,16,King County
98093,Federal Way,16,King County
98025,Hobart,17,King County
98004,Hunts Point,18,King County
98027,Issaquah,19,King County
98029,Issaquah,19,King County
98075,Issaquah,19,King County
98028,Kenmore,20,King County
98030,Kent,20,King County
98031,Kent,20,King County
98032,Kent,20,King County
98035,Kent,20,King County
98042,Kent,20,King County
98064,Kent,20,King County
98033,Kirkland,21,King County
98034,Kirkland,21,King County
98083,Kirkland,21,King County
98155,Lake Forest Park,22,King County
98038,Maple Valley,23,King County
98039,Medina,24,King County
98040,Mercer Island,25,King County
98056,Newcastle,26,King County
98059,Newcastle,26,King County
98148,Normandy Park,27,King County
98166,Normandy Park,27,King County
98198,Normandy Park,27,King County
98045,North Bend,28,King County
98047,Pacific,29,King County
98050,Preston,30,King County
98051,Ravensdale,31,King County
98052,Redmond,32,King County
98053,Redmond,32,King County
98073,Redmond,32,King County
98074,Redmond,32,King County
98054,Redondo,33,King County
98055,Renton,34,King County
98056,Renton,34,King County
98057,Renton,34,King County
98058,Renton,34,King County
98059,Renton,34,King County
98074,Sammamish,35,King County
98075,Sammamish,35,King County
98062,Seahurst,36,King County
98148,Seatac,37,King County
98158,Seatac,37,King County
98168,Seatac,37,King County
98188,Seatac,37,King County
98198,Seatac,37,King County
98101,Seattle,38,King County
98102,Seattle,38,King County
98103,Seattle,38,King County
98104,Seattle,38,King County
98105,Seattle,38,King County
98106,Seattle,38,King County
98107,Seattle,38,King County
98108,Seattle,38,King County
98109,Seattle,38,King County
98111,Seattle,38,King County
98112,Seattle,38,King County
98114,Seattle,38,King County
98115,Seattle,38,King County
98116,Seattle,38,King County
98117,Seattle,38,King County
98118,Seattle,38,King County
98119,Seattle,38,King County
98121,Seattle,38,King County
98122,Seattle,38,King County
98124,Seattle,38,King County
98125,Seattle,38,King County
98126,Seattle,38,King County
98131,Seattle,38,King County
98132,Seattle,38,King County
98133,Seattle,38,King County
98134,Seattle,38,King County
98136,Seattle,38,King County
98138,Seattle,38,King County
98144,Seattle,38,King County
98145,Seattle,38,King County
98146,Seattle,38,King County
98148,Seattle,38,King County
98154,Seattle,38,King County
98155,Seattle,38,King County
98158,Seattle,38,King County
98160,Seattle,38,King County
98161,Seattle,38,King County
98164,Seattle,38,King County
98166,Seattle,38,King County
98168,Seattle,38,King County
98171,Seattle,38,King County
98174,Seattle,38,King County
98177,Seattle,38,King County
98178,Seattle,38,King County
98188,Seattle,38,King County
98198,Seattle,38,King County
98199,Seattle,38,King County
98133,Shoreline,39,King County
98155,Shoreline,39,King County
98177,Shoreline,39,King County
98288,Skykomish,40,King County
98065,Snoqualmie,41,King County
98068,Snoqualmie,41,King County
98108,Tukwila,42,King County
98138,Tukwila,42,King County
98168,Tukwila,42,King County
98178,Tukwila,42,King County
98188,Tukwila,42,King County
98013,Vashon,43,King County
98070,Vashon,43,King County
98072,Woodinville,44,King County
98004,Yarrow Point,45,King County